talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
aacr-award-for-outstanding-achievement-in-blood-cancer-research::dipersio::1,aacr-award-for-outstanding-achievement-in-blood-cancer-research,Developing CAR T‑cell therapies for T‑cell malignancies,Dr. John F. DiPersio,"Washington University School of Medicine, St. Louis, Director of the Section of Cellular Therapy and the Center for Gene and Cellular Immunotherapy",academic_pi,T-cell acute lymphoblastic leukemia; peripheral T-cell lymphoma; acute myeloid leukemia,phase_1,CAR_T; combination_therapy; clinical_trial; translational; basic_science,first_in_class,"The work introduces universal allogeneic CAR‑T platforms that multiplex‑edit donor T cells to delete CD7 (and TCRα) for T‑ALL and to delete CD2 (and TCRα) for T‑cell lymphomas, enabling potent antigen‑specific killing while avoiding fratricide. Epitope‑masking of CD2 or incorporation of the CD2 cytoplasmic tail restores costimulatory signaling lost after CD2 knockout. Long‑acting IL‑7 fusion (NTi‑7) administered early after infusion dramatically expands CAR‑T persistence and cures murine models. Small‑molecule PI3γδ and JAK inhibitors, or CD40L blockade, suppress IL‑6–driven CRS without impairing cytotoxicity.","Multiplex CRISPR editing of donor T cells to delete CD7 and TCRα enables universal CAR‑T cells that achieved an 82% complete remission rate in the first‑in‑human UCART7 Phase I trial for relapsed T‑ALL. | Deletion of CD2 in CAR‑T cells caused severe functional exhaustion in vitro and loss of antitumor activity in vivo, which was rescued by epitope‑masking of CD2 or by inserting the CD2 cytoplasmic domain into the CAR construct. | Long‑acting IL‑7 (NTi‑7) given between days 1‑7 after CAR‑T infusion expands CAR‑T cells 10,000‑ to 100,000‑fold and cures murine models of T‑cell lymphoma, B‑cell lymphoma, and AML, whereas later dosing is ineffective. | A high‑throughput screen of 700 kinase inhibitors identified PI3γδ inhibitor (Devolasib) and JAK1/2 inhibitor (Ruxolitinib) as synergistic suppressors of IL‑6 production without impairing CAR‑T cytotoxicity; combined prophylaxis eliminated grade ≥2 CRS in a randomized patient cohort. | CD4⁺ CAR‑T cells are the primary source of IL‑6 via membrane‑bound CD40L, while CD8⁺ cells mediate killing; CD40L knockout or blockade markedly reduces CRS, highlighting a mechanistic link between CD40L signaling and cytokine release.",6,1,2,CR rate,82%,n=unspecified,"relapsed/refractory T‑cell ALL, Phase I UCART7 cohort"
aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research::arrowsmith::1,aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research,Open-access chemical probes and Target 2035 initiative for the druggable proteome,Dr. Cheryl H. Arrowsmith,"Senior Scientist, Princess Margaret Cancer Centre; Professor, University of Toronto",academic_pi,acute myeloid leukemia; glioblastoma; clear cell renal carcinoma; multiple myeloma; acute lymphoblastic leukemia; breast cancer,preclinical,chemical_biology; epigenetics; targeted_protein_degradation; platform_technology; AI_ML; basic_science,platform_technology,"The SGC develops open-access chemical probes that selectively inhibit epigenetic regulators such as WDR5, PRMT5, PRMT1 and NSD2. Probe binding disrupts protein–protein interactions or catalytic activity, leading to transcriptional reprogramming, loss of oncogenic histone marks, and selective growth suppression in cancer models dependent on these epigenetic pathways. A PROTAC-derived NSD2 degrader recruits FBXO22, forming a covalent adduct that eliminates NSD2 protein and its H3K36me2 mark, restoring dexamethasone sensitivity in mutant ALL cells.","Developed ~200 high‑quality chemical probes, including 50–70 epigenetic modulators, all freely available to the community. | Identified OICR-9429 as a potent, selective WDR5‑MLL interaction inhibitor that suppresses growth of MLL‑rearranged leukemia and p53‑gain‑of‑function breast cancer cells. | Discovered a PROTAC that recruits FBXO22 to degrade NSD2, eliminating H3K36me2 and selectively killing NSD2‑mutant ALL and multiple myeloma cells after 18–21 days. | NSD2 degradation restored dexamethasone sensitivity in mutant ALL cell lines, suggesting a combinatorial therapeutic strategy. | Machine‑learning‑guided DNA‑encoded library screens across 18 WDR proteins yielded low‑micromolar, ligand‑efficient hits for ~1/3 of the targets, expanding the druggable proteome.",5,0,1,,,,
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::loupiain::1,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,Epigenomic heterogeneity and chromatin variants in metastatic castration‑resistant prostate cancer,Matthew Loupiain,"University of California, San Diego, Department of Medicine",academic_pi,prostate cancer,unspecified,epigenetics; tumor_microenvironment; basic_science; translational,first_in_class,"Chromatin variant analysis using ATAC‑seq identified repetitive element‑driven accessible regions that recruit AR, FOXA1 and other transcription factors, forming de novo regulatory elements that amplify AR expression in LINE1+ metastatic castration‑resistant prostate cancer, leading to intrinsic resistance to AR‑targeted therapy.","Unsupervised clustering of ATAC‑seq data from 71 mCRPC samples defined four subgroups based on repetitive element chromatin variants (LINE1+, SETL, SINE1+, constant). | LINE1+ subgroup showed intrinsic resistance to androgen‑receptor selective inhibitors, with markedly shorter survival. | AR locus amplification (up to >150 copies) and ecDNA positivity were enriched in LINE1+ tumors. | Repetitive element‑derived accessible sites in LINE1+ tumors physically interact with the AR promoter (Hi‑C), recruiting AR, FOXA1, and OCTB13. | Chromatin variant classification did not align with gene‑expression‑based subtypes, highlighting orthogonal heterogeneity.",1,1,0,overall_survival,significantly shorter in LINE1+ subgroup,n=71,LINE1+ mCRPC patients treated with AR selective inhibitors
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::work)::2,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,SMARCA4 loss drives cell‑state disorder and dedifferentiated endometrial cancer,Unspecified presenter (endometrial cancer work),"University of Alberta, Department of Oncology",academic_pi,endometrial cancer,unspecified,epigenetics; tumor_microenvironment; basic_science; translational,clinical_validation_of_known,"Loss of SMARCA4 disrupts the SWI/SNF chromatin remodeling complex, leading to global DNA hypomethylation and stochastic chromatin accessibility changes that prevent cells from stabilizing in a differentiated state, resulting in histologic dedifferentiation and therapy resistance in endometrial cancer.","80% of dedifferentiated endometrial cancer (DDEC) cases show loss of SMARCA4 and/or ARID1B, components of the SWI/SNF complex. | CRISPR‑mediated SMARCA4 knockout in endometrial cancer cells reduces in‑vitro tumorigenicity but, after serial in‑vivo passaging, restores growth and yields mixed well‑ and poorly‑differentiated histology. | SMARCA4‑deficient tumors display global DNA hypomethylation and distinct chromatin accessibility patterns compared with wild‑type. | Single‑cell multi‑omics reveal that SMARCA4 loss increases cell‑state plasticity, generating an uncommitted transcriptional state without a stem‑cell or embryonic signature. | Patient DDEC samples retain heterogeneous E‑cadherin expression, supporting a model of cell‑state disorder rather than true dedifferentiation.",1,0,0,,,,
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::ji::3,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,LKB1 loss‑driven adenocarcinoma‑to‑squamous transition (AST) and therapeutic vulnerabilities in KRAS‑mutant lung cancer,Hongjun Ji,"University of Texas Southwestern, Department of Oncology",academic_pi,NSCLC,phase_2,plasticity; tumor_microenvironment; combination_therapy; clinical_trial; basic_science,first_in_class,"LKB1 loss elevates ROS, transiently activating NF‑κB (RELA) which sustains adenocarcinoma survival; prolonged stress leads to a double‑positive p63⁺/RELA⁺ state that secretes IL‑1α, reprograms CAFs to a leukocyte‑like phenotype, induces IL‑1β‑driven neutrophil NET formation, and drives squamous transdifferentiation (AST) that confers resistance to KRAS‑G12C inhibition; combined NF‑κB inhibition, ROS modulation, and IL‑1 blockade synergize with KRAS‑G12C inhibitor to prevent or eradicate squamous lesions.","LKB1 loss in KRAS‑mutant mouse models induces spontaneous adenocarcinoma‑to‑squamous transition (AST) that is enriched after targeted therapy. | High squamous transcriptional signature predicts shorter treatment duration in LKB1‑mutant lung cancer patients. | KLK6A expression serves as a predictive biomarker for poor response to aggressive therapy in LKB1‑deficient tumors. | ROS accumulation activates NF‑κB; NF‑κB inhibition accelerates p63⁺ squamous differentiation, while ROS scavenging (NAC) reduces RELA activation. | p63⁺ squamous cells secrete IL‑1α, reprogramming CAFs to IL‑1β‑producing leukocyte‑like CAFs that trigger neutrophil NET formation, promoting squamous tumor growth. | Combined KRAS‑G12C inhibitor (IMC‑6236) with IL‑1 receptor antagonist or NET inhibitor (GSK‑484) markedly reduces squamous tumor burden and improves overall tumor control.",4,2,4,treatment_duration,shorter in patients with high squamous signature,n=7 adenocarcinoma samples,LKB1‑mutant lung adenocarcinoma patients
aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology::murphy::1,aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology,"Dendritic cell subsets, cross‑presentation mechanisms, and mRNA vaccine priming",Kenneth Murphy,"Washington University School of Medicine, St. Louis, Professor of Pathology and Immunology and Medicine",academic_pi,,preclinical,immunotherapy; cancer_vaccines; tumor_microenvironment; basic_science; translational,platform_technology,"Murphy's work defines transcriptional enhancers that program dendritic cell subset differentiation (DC1s via IRF8 enhancer, DC2s via Notch2, Klf4, ZEB2) and identifies WDFY4 and Rab43 as DC1‑specific factors required for vesicular cross‑presentation. Using these mouse models, he shows that conventional DCs are essential for mRNA‑LNP vaccine‑induced CD8 T‑cell priming, but the response is independent of DC1‑specific cross‑presentation pathways and instead relies on cross‑dressing of peptide‑MHC complexes, a process requiring type I IFN and residual class I on DCs.","Batf3‑/- mice lacking DC1s show tumor and viral responses as weak as Rag‑deficient mice, demonstrating DC1 necessity for classic cross‑presentation. | Targeted deletion of three IRF8 enhancers abolishes DC1 development, providing a refined genetic tool superior to Batf3 knockout. | WDFY4 is uniquely expressed in DC1s; Wdfy4‑/- mice fail to cross‑present cell‑associated antigens and cannot reject fibrosarcoma, confirming its essential role in vesicular cross‑presentation. | Rab43 co‑localizes with WDFY4 in DC1s and traffics with phagocytosed Listeria, supporting a vesicular, non‑cytosolic cross‑presentation pathway. | mRNA‑LNP vaccination induces CD8 tetramer responses that persist after DC1 or WDFY4 loss, indicating DC1‑independent priming. | Complete depletion of conventional DCs (CD11c‑DTR) abolishes the mRNA‑vaccine response, proving DC dependence but not subset specificity. | Class I MHC loss on DCs (CD11c‑Cre β2M flox) eliminates tumor‑induced cross‑presentation but only partially reduces mRNA‑vaccine responses, implicating cross‑dressing as a major mechanism. | Single‑cell RNA‑seq of tetramer+ CD8 T cells shows that DC1 priming yields fewer but more proliferative effectors, whereas DC2 priming yields broader effector populations.",8,0,2,,,,
aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai::roberts::1,aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai,SWI/SNF chromatin remodeling complex vulnerabilities and therapeutic targeting of DCAF5,Dr. Charles W.M. Roberts,"St. Jude Children's Research Hospital, Executive Vice President and Director of the Comprehensive Cancer Center",academic_pi,rhabdoid tumor; small cell carcinoma of the ovary; pediatric cancer,preclinical,epigenetics; basic_science; translational; platform_technology,first_in_class,"Roberts demonstrated that loss of the SWI/SNF subunit SMARCB1 destabilizes the complex, leading to degradation of residual subunits by the E3 ligase adaptor DCAF5. Genetic or pharmacologic inhibition of DCAF5 restores SWI/SNF complex abundance at enhancers, rescues transcription of developmental genes, and induces tumor regression in SMARCB1-deficient models without major toxicity, establishing DCAF5 as a synthetic‑lethal vulnerability.","CRISPR screens of SMARCB1‑deficient rhabdoid tumor lines identified DCAF5 as a highly selective dependency (Q‑value ~10⁻²²). | Mass‑spec revealed that DCAF5 knockdown increases abundance of nine SWI/SNF subunits, confirming DCAF5‑mediated degradation. | DiGly tagging showed direct ubiquitination of multiple SWI/SNF subunits by DCAF5. | DCAF5 loss restores 30‑70% of wild‑type enhancer‑driven transcription in SMARCB1‑null cells, reactivating developmental gene programs. | In vivo degradation of DCAF5 eradicated established SMARCB1‑deficient tumors; no regrowth observed after 100 days. | Germline DCAF5 knockout mice are viable with only mild growth phenotype, indicating a therapeutic window. | Initial small‑molecule binders of DCAF5 have been identified in collaboration with Gray and Fisher labs, enabling a drug‑discovery program.",3,0,0,,,,
aacr-gertrude-b-elion-cancer-research-award-lecture::li::1,aacr-gertrude-b-elion-cancer-research-award-lecture,Chromatin priming drives early onset of BRCA1‑heterozygous basal‑like breast cancer,Carmen Li,"University of Pennsylvania, Department of Cancer Biology, Basser Center for BRCA",academic_pi,breast cancer,preclinical,epigenetics; tumor_microenvironment; basic_science; translational,first_in_class,"Li's group generated a BRCA1‑heterozygous mouse model that reveals early chromatin accessibility changes in alveolar luminal progenitor cells, priming AP1‑dependent transcriptional programs and WNT10A activation. Partial inhibition of AP1 delays tumor onset, while WNT10A overexpression accelerates basal‑like tumor formation, establishing these pathways as early drivers of hereditary breast cancer.","BRCA1‑heterozygous mice develop basal‑like mammary tumors ~20 weeks earlier than WT mice after Cre‑mediated BRCA1 loss. | ATAC‑seq of normal alveolar cells shows a distinct subcluster with intermediate chromatin openness that aligns with tumor profiles. | AP1 (c‑Jun, JunD, FOSL2) motifs are enriched in these open regions; c‑Jun protein is up‑regulated in early lesions. | Dominant‑negative Jun expression delays tumor formation only in heterozygous mice, indicating AP1 dependency. | WNT10A locus exhibits increased accessibility and expression; WNT10A knockdown impairs organoid growth and in‑vivo tumorigenicity. | WNT10A overexpression accelerates tumor onset and raises tumor grade in mouse cohorts. | RUNX/CBFB transcription factors are up‑regulated in pre‑malignant and tumor cells; CBFB and RUNX2 knockdown reduces proliferation of derived cancer cell lines.",7,0,2,,,,
aacr-gha-clowes-award-for-outstanding-basic-cancer-research::feinberg::1,aacr-gha-clowes-award-for-outstanding-basic-cancer-research,Epigenetic plasticity drives pancreatic cancer metastasis via KLF5 and chromatin modifiers,Andrew P. Feinberg,"Johns Hopkins University, Bloomberg Distinguished Professor of Epigenetics",academic_pi,pancreatic cancer; acute lymphoblastic leukemia,preclinical,epigenetics; tumor_microenvironment; basic_science; translational; platform_technology,first_in_class,"Feinberg's work shows that epigenetic plasticity, measured as DNA methylation entropy, creates a transitional chromatin state in early pancreatic lesions and in metastatic clones. A CRISPR screen identified KLF5 as a key transcriptional modulator that drives metastasis by up‑regulating epigenetic modifiers (NCAPD2, MTHFD1) leading to loss of heterochromatin (H3K9me2/3) and increased euchromatin, which promotes EMT and tumor cell migration.","PanIN lesions display DNA methylation patterns intermediate between acinar and ductal cells, indicating an epigenetically plastic transition zone. | UHRF1 knockdown abolishes soft‑agar growth of ALL cells, linking it to epigenetic entropy in leukemia. | CRISPR screen of metastatic PDAC PDX identified KLF5 as the top gene whose loss impairs metastatic growth but not primary tumor growth. | KLF5 knockdown restores heterochromatin (H3K9me2/3) in metastatic cells and reduces migration in Boyden assays. | KLF5 regulates NCAPD2 and MTHFD1; their knockdown also restores heterochromatin, placing them downstream of KLF5. | High KLF5 expression in human metastatic PDAC correlates with poor survival in TCGA data.",4,0,1,,,,
aacr-irving-weinstein-foundation-distinguished-lectureship::lo::1,aacr-irving-weinstein-foundation-distinguished-lectureship,From fetal DNA to cancer early detection: innovations in circulating nucleic acids,Dennis Lo,"Vice Chancellor and President, The Chinese University of Hong Kong; Li Ka Shing Professor of Medicine, Department of Chemical Pathology",academic_pi,nasopharyngeal cancer; hepatocellular carcinoma; pan-cancer,mixed,liquid_biopsy; early_detection; biomarker_development; translational; platform_technology; fragmentomics; epigenetics,platform_technology,"Lo demonstrated that cell‑free DNA released by tumors or fetuses can be quantitatively measured using digital PCR, next‑generation sequencing and novel fragmentomics signatures (size, end‑motif, methylation). By exploiting tumor‑specific nucleic acid markers such as EBV DNA in nasopharyngeal carcinoma or chromosome‑specific copy‑number changes in trisomy 21, the approach enables highly accurate non‑invasive prenatal testing and cancer early‑detection, with fragment length and end‑motif patterns providing additional tissue‑origin information.","Discovery of cell‑free fetal DNA in maternal plasma enabled non‑invasive prenatal testing with >99% accuracy using digital PCR of chromosome‑specific targets. | A genome‑wide NIPT based on low‑coverage sequencing accurately detected trisomy 21 in 28 pregnancies (100% sensitivity and specificity). | Plasma EBV DNA serves as a highly specific biomarker for nasopharyngeal carcinoma, detecting 34 cancers in a 20,000‑person Hong Kong screen and shifting 70% of cases to stage I‑II with a 10‑fold mortality reduction (3% vs 40%). | Fragmentomics signatures (shorter fragment size, distinct end‑motif patterns) differentiate cancer‑derived cfDNA from normal cfDNA and improve detection AUC to 0.92 for liver cancer. | Integration of fragment size, end‑motif, and methylation data enables tissue‑of‑origin inference, forming the basis of multi‑cancer early detection platforms such as GRAIL’s Galleri test.",3,4,0,NIPT accuracy,>99%,n=~2000 pregnancies,"all‑comers, gestational age 10‑12 weeks"
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,Quantitative fluorescence protein assays and selective biomarkers for ADC choice in breast cancer,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",academic_pi,breast cancer; melanoma; lung cancer; bladder cancer,mixed,ADC; biomarker_development; translational; platform_technology; immunotherapy,platform_technology,"Rim's laboratory developed the Troplex quantitative immunofluorescence platform that converts fluorescence intensity into absolute protein concentration (attomoles/mm²) for HER2, Trop‑2 and other membrane antigens. By standardizing staining with cell‑line calibrators, the assay achieves <10% CV and enables continuous measurement of target density, which correlates with ADC efficacy and informs a proposed selective biomarker framework for choosing between competing HER2‑ or Trop‑2‑directed ADCs.","The Troplex assay quantifies HER2 and Trop‑2 in absolute units with inter‑ and intra‑assay CV <10% using cell‑line standards. | In a retrospective Yale cohort (n=316), quantitative HER2 levels distinguished patients likely to benefit from trastuzumab‑deruxtecan, with a hazard ratio of 0.70 per 50‑unit increase (p<0.05). | High Trop‑2 expression was associated with significantly shorter overall survival on T‑DXd (median OS 6.2 mo vs 13.9 mo for low Trop‑2, p<0.01). | Combined HER2‑high/Trop‑2‑low tumors showed the best outcomes on HER2‑directed ADCs, suggesting a selective biomarker strategy for drug choice. | The assay received New York State Department of Health (NYSDOH) CLIA approval, enabling clinical deployment.",5,5,0,Coefficient of variation (inter‑ and intra‑assay),<10%,n=316,prospective Yale breast cancer cohort
aacr-jca-joint-session-lung-cancer-in-never-smokers::kono::1,aacr-jca-joint-session-lung-cancer-in-never-smokers,Genomics and environmental risk factors in East Asian lung adenocarcinoma,Takashi Kono,"National Cancer Center, Japan; Vice President of Japanese Cancer Association; Director of JCGAT",academic_pi,lung adenocarcinoma,unspecified,genomics; cancer_vaccines; biomarker_development; epigenetics; environmental_exposure; other,clinical_validation_of_known,"Kono presented large-scale national genomic data showing distinct mutation patterns in never-smoker versus smoker lung adenocarcinoma, with EGFR mutations predominating in never smokers and KRAS in smokers, and highlighted environmental contributors such as passive smoking, air pollution, and germline polymorphisms influencing tumor development.","Never smokers comprised ~30% of advanced lung cancer cases in the Japanese national database. | EGFR mutations are the most frequent driver in never-smoker lung adenocarcinoma, while KRAS dominates in smokers. | Passive smoking increases tumor mutational burden via APOBEC signatures but does not affect EGFR mutation frequency. | Air pollution (PM2.5) correlates with higher EGFR-positive lung cancer incidence without directly causing EGFR mutations. | Germline polymorphisms (e.g., TERT, HLA class II) confer greater risk in never smokers, especially for EGFR-positive disease.",2,0,0,,,,
aacr-jca-joint-session-lung-cancer-in-never-smokers::piccolo::2,aacr-jca-joint-session-lung-cancer-in-never-smokers,Germline susceptibility and genomic risk in never-smoker lung cancer,Jacqueline Lo Piccolo,Dana-Farber Cancer Institute,academic_pi,lung adenocarcinoma; small cell lung cancer,mixed,genomics; germline_variation; biomarker_development; clinical_trial; translational,first_in_class,"Lo Piccolo described large-scale germline sequencing efforts revealing that rare pathogenic variants in established cancer genes (TP53, SMAD6, IREB2) and polygenic risk scores contribute to lung cancer risk in never smokers, especially in young-onset and EGFR‑positive disease, and highlighted a case where BRCA2 loss of heterozygosity sensitized a patient to platinum and PARP inhibition.","Young‑onset lung cancer (≤45 y) is enriched for targetable fusions (ALK, ROS1) and EGFR mutations. | Rare pathogenic germline variants in TP53, SMAD6, and IREB2 are significantly enriched in young‑onset or fusion‑driven tumors. | Polygenic risk scores derived from smoking‑associated GWAS still confer modest risk (OR ≈ 1.3 per SD) in never‑smoker cohorts. | Large (>1 Mb) rare deletions are over‑represented in young‑onset, fusion‑positive cases. | A BRCA2 germline pathogenic variant with tumor LOH predicted exceptional response to platinum chemotherapy followed by PARP inhibition.",0,1,0,ORR to platinum + PARP inhibitor in BRCA2 germline carrier,"durable response >4 y to platinum, 16 m on PARP inhibitor",1 patient,stage IV BRCA2 germline mutant lung cancer
aacr-jca-joint-session-lung-cancer-in-never-smokers::lee::3,aacr-jca-joint-session-lung-cancer-in-never-smokers,Differential treatment response by smoking status in lung cancer,Seung Lee,"Samsung Medical Center, Republic of Korea",clinician_investigator,lung adenocarcinoma; lung squamous carcinoma,mixed,targeted_therapy; immunotherapy; clinical_trial; biomarker_development; resistance_mechanisms; translational,best_in_class,"Lee demonstrated that never‑smoker lung cancer shows superior benefit from EGFR TKIs but diminished response to immune checkpoint inhibitors, correlating with lower TMB and PD‑L1; he identified biomarkers (PBAP loss, DDR1, transcriptional MMR‑like signature) that predict ICI sensitivity or hyperprogression, and highlighted that anti‑angiogenic addition improves TKI efficacy mainly in smokers.","EGFR TKI hazard ratio 0.7 in never smokers versus smokers, confirming greater efficacy. | Addition of anti‑angiogenic agents to EGFR TKI improves outcomes more in smokers than never smokers. | Never smokers have significantly lower TMB and PD‑L1 scores, resulting in poor ICI monotherapy response (ORR ~10%). | PBAP loss‑of‑function mutations (~10% of never smokers) predict durable ICI responses (5‑year remission). | High DDR1 expression associates with hyperprogression on ICI in never smokers.",3,3,2,EGFR TKI hazard ratio (never smoker vs smoker),0.7,large retrospective cohort,EGFR‑mutant NSCLC
