talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
pezcoller-foundation-aacr-international-award-for-extraordinary-achievement-in-c::schiller::2,John T. Schiller,"National Cancer Institute, Bethesda, MD",pezcoller-foundation-aacr-international-award-for-extraordinary-achievement-in-c,ocular melanoma; bladder cancer; pan-cancer (HSPG‑modified tumors),mixed,Tumor growth arrest (ocular melanoma therapeutic dose),tumors stopped growing during treatment period,,≈100,Therapeutic‑dose cohort,,interim
pezcoller-foundation-aacr-international-award-for-extraordinary-achievement-in-c::schiller::2,John T. Schiller,"National Cancer Institute, Bethesda, MD",pezcoller-foundation-aacr-international-award-for-extraordinary-achievement-in-c,ocular melanoma; bladder cancer; pan-cancer (HSPG‑modified tumors),mixed,Complete pathological response (bladder cancer window trial),0 residual tumor in resected specimens after VLP‑IR700 treatment,,small window cohort (n not disclosed),Non‑muscle invasive bladder cancer,,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::galbraith::1,Susan Galbraith,"AstraZeneca, Head of Oncology R&D",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,pan-cancer,mixed,binder_success_rate,17%,,264 designs,AI‑designed mini‑protein library,,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::galbraith::1,Susan Galbraith,"AstraZeneca, Head of Oncology R&D",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,pan-cancer,mixed,affinity,28 nM,,45 binders,top affinity mini‑protein binders,,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::galbraith::1,Susan Galbraith,"AstraZeneca, Head of Oncology R&D",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,pan-cancer,mixed,design_cycle_time,1 month,,,mini‑protein design workflow,standard multi‑month process,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::galbraith::1,Susan Galbraith,"AstraZeneca, Head of Oncology R&D",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,pan-cancer,mixed,lead_optimization_cycle,4 months,,,AI‑assisted small‑molecule lead series,traditional ~8‑month cycle,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::meyer::3,Josh Meyer,"Chai Discovery, Founder & CEO",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,solid tumors; hematologic malignancies,preclinical,binder_success_rate,≈50%,,50 targets tested,diverse protein targets (≥50),,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::meyer::3,Josh Meyer,"Chai Discovery, Founder & CEO",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,solid tumors; hematologic malignancies,preclinical,binding_rate_per_target,10‑20% of designs bind,,≤20 designs per target,each tested target,,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::meyer::3,Josh Meyer,"Chai Discovery, Founder & CEO",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,solid tumors; hematologic malignancies,preclinical,agonist_hit_rate,1/10 designs,,10 CCR8 designs,CCR8 VHH library,,interim
pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo::meyer::3,Josh Meyer,"Chai Discovery, Founder & CEO",pharma-biotech-and-academia-advancing-drug-discovery-and-development-in-an-ai-wo,solid tumors; hematologic malignancies,preclinical,specificity,"KRAS G12V mutant binding, no WT binding",,single clone,peptide‑MHC assay,,interim
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::le::1,Phuong Anh Le,Harvard Chan School of Public Health,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,breast cancer,unspecified,hazard ratio for ER-negative breast cancer,0.70,95% CI 0.55-0.89,n=83 premenopausal ER-negative cases,"premenopausal women, BMI<21 at age 18",lowest quartile adolescent PHDI,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::peng::2,Wang Peng,Tianjin Medical University Cancer Institute and Hospital,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,lung cancer,unspecified,hazard ratio for lung cancer (cardiorespiratory multimorbidity),4.11,,,participants with both CRD and CVD,healthy participants,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::peng::2,Wang Peng,Tianjin Medical University Cancer Institute and Hospital,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,lung cancer,unspecified,hazard ratio for transition from CRM to lung cancer,2.8,,,CRM participants,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::peng::2,Wang Peng,Tianjin Medical University Cancer Institute and Hospital,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,lung cancer,unspecified,risk reduction with healthy lifestyle (CRM to lung cancer),57% lower risk,,,CRM participants with healthy lifestyle,unhealthy lifestyle,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::torre::3,Catherine De La Torre,Rogers Cancer Institute,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,gastric cancer,unspecified,hazard ratio for gastric cancer (first generation vs NHW),≈5.0,,,first‑generation Japanese immigrants,non‑Hispanic whites,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::torre::3,Catherine De La Torre,Rogers Cancer Institute,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,gastric cancer,unspecified,hazard ratio for gastric cancer (third generation vs NHW),≈2.5,,,third‑generation Japanese descendants,non‑Hispanic whites,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::mavromatis::4,Lucas Mavromatis,"NYU Grossman School of Medicine, Division of Precision Medicine",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,pancreatic cancer,unspecified,time‑dependent AUC at 24 months,0.76,,,US validation cohort,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::mavromatis::4,Lucas Mavromatis,"NYU Grossman School of Medicine, Division of Precision Medicine",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,pancreatic cancer,unspecified,absolute 3‑year PDAC risk for top 1% PRIME,0.61%,,,top 1% high‑risk individuals,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::mavromatis::4,Lucas Mavromatis,"NYU Grossman School of Medicine, Division of Precision Medicine",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,pancreatic cancer,unspecified,PDAC capture proportion (top 1% risk),5.8% of all PDAC cases within 3 years,,,top 1% high‑risk individuals,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::hardikar::5,Sheetal Hardikar,"University of Utah, Huntsman Cancer Institute",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,colorectal cancer,unspecified,hazard ratio for overall survival (highest BMR quartile vs lowest),0.77,,,overall CRC cohort,lowest BMR quartile,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::hardikar::5,Sheetal Hardikar,"University of Utah, Huntsman Cancer Institute",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,colorectal cancer,unspecified,hazard ratio for CRC‑specific survival (highest BMR quartile vs lowest),0.64,,,overall CRC cohort,lowest BMR quartile,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::hardikar::5,Sheetal Hardikar,"University of Utah, Huntsman Cancer Institute",population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,colorectal cancer,unspecified,overall survival benefit in younger men (<50 y),≈30% better survival (HR ~0.30),,,men <50 y,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::chintala::6,Sakshat Chintala,UC San Diego,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,,unspecified,overall telehealth utilization within first year of diagnosis,14.1%,,,all Medicare cancer patients,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::chintala::6,Sakshat Chintala,UC San Diego,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,,unspecified,telehealth use by race (Black vs NHW),11.2% vs 15.0% (approx.),,,Black cancer patients,non‑Hispanic White patients,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::zhang::7,Houyi Zhang,National Cancer Institute,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,breast cancer,unspecified,number of independent risk loci identified,545,,,multi‑ancestry breast cancer GWAS,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::zhang::7,Houyi Zhang,National Cancer Institute,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,breast cancer,unspecified,novel loci (not previously published),273,,,multi‑ancestry GWAS,,primary_endpoint_met
population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence::zhang::7,Houyi Zhang,National Cancer Institute,population-sciences-at-the-forefront-1-risk-factors-influencing-cancer-incidence,breast cancer,unspecified,AUC improvement of CONFLUENCE PRS vs 313‑variant PRS (UK Biobank EUR),2% (0.65 vs 0.63),,,European ancestry,313‑variant PRS,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::li::1,Hui Li,Vanderbilt University,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,lung cancer; upper aerodigestive tract cancer,unspecified,lung cancer risk HR,1.5 per SD increase,95% CI 1.2-1.8,"n=28,000",former smokers,lower PSPSE score,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::li::1,Hui Li,Vanderbilt University,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,lung cancer; upper aerodigestive tract cancer,unspecified,PLCOm2012 AUC improvement,+0.03,,"n=28,000",former smokers,PLCOm2012 alone,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::wang::2,Anqi Wang,Harvard T.H. Chan School of Public Health,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,prostate cancer,unspecified,HR for fatal prostate cancer per SD increase in height PRS,1.30,95% CI 1.12-1.51,"n=~5,000 cases",HPFS participants,lower PRS,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::wasak::3,Irma Wasak,Dartmouth College,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,high-grade serous ovarian carcinoma,unspecified,Hazard ratio for death (C1 loss‑dominant vs C2 CNA‑quiet),1.45,95% CI 1.10-1.92,n=638,overall HSOC,CNA‑quiet,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::wasak::3,Irma Wasak,Dartmouth College,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,high-grade serous ovarian carcinoma,unspecified,Hazard ratio for death (Black vs White within gain‑dominant C3),1.60,95% CI 1.12-2.28,n=~200,Black women in C3,White women in C3,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::reid::4,Brett Reid,Moffitt Cancer Center,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,high-grade serous ovarian carcinoma,unspecified,HR for death per unit increase in tumor‑dominant cytotoxic gradient,0.68,95% CI 0.52-0.89,n=221,Black women with HSOC,stroma‑dominant,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::reid::4,Brett Reid,Moffitt Cancer Center,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,high-grade serous ovarian carcinoma,unspecified,HR for death with tumor TIM‑3+ exhaustion (≥2% T cells),0.71,95% CI 0.55-0.92,n=221,subset with ≥2% T cells,low exhaustion,primary_endpoint_met
population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can::wang::6,Xinyu Wang,Harvard Chan School of Public Health,population-sciences-at-the-forefront-2-molecular-and-genetic-epidemiology-of-can,colorectal cancer,unspecified,OR per SD increase in PRS,1.20,95% CI 1.15-1.25,"n=~83,000",most recent birth cohorts (born 1960‑1970),earlier cohorts,primary_endpoint_met
population-sciences-for-hematological-malignancies::onel::1,Ken Onel,Roswell Park Comprehensive Cancer Center,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML; myeloma; lymphoma,unspecified,patients with germline testing,523,,n=523,AML patients,,interim
population-sciences-for-hematological-malignancies::onel::1,Ken Onel,Roswell Park Comprehensive Cancer Center,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML; myeloma; lymphoma,unspecified,patients without germline testing,"1,195",,"n=1,195",AML patients,,interim
population-sciences-for-hematological-malignancies::eisfeldt::2,Anne Katherine Eisfeldt,Ohio State University,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML,mixed,median overall survival difference,12 years shorter,,n=young Black cohort,Black AML patients <30 y,,secondary_endpoint
population-sciences-for-hematological-malignancies::eisfeldt::2,Anne Katherine Eisfeldt,Ohio State University,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML,mixed,relapse rate for NPM1‑mutated Black patients,≈100%,,n=unspecified,Black AML with NPM1 mutation,,exploratory
population-sciences-for-hematological-malignancies::eisfeldt::2,Anne Katherine Eisfeldt,Ohio State University,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML,mixed,clonal hematopoiesis prevalence,15%,,n=unspecified,African‑American AML cohort,,exploratory
population-sciences-for-hematological-malignancies::eisfeldt::2,Anne Katherine Eisfeldt,Ohio State University,Advances in Hemologic Malignancies: Population Sciences for Hematological Malignancies,AML,mixed,relapse rate with CH in African‑American AML,80%,,n=unspecified,CH+ African‑American AML,,exploratory
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dresner::3,Nicole Dresner,"FDA, Deputy Director, Division of Oncology 2",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,gastroenteropancreatic neuroendocrine tumor,approved,ORR,13%,,n=229 adults (NETTER‑1),adult GEP‑NETs,long‑acting octreotide,primary_endpoint_met
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dresner::3,Nicole Dresner,"FDA, Deputy Director, Division of Oncology 2",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,gastroenteropancreatic neuroendocrine tumor,approved,HR for PFS,0.21,,n=229 adults,adult GEP‑NETs,octreotide,primary_endpoint_met
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dresner::3,Nicole Dresner,"FDA, Deputy Director, Division of Oncology 2",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,gastroenteropancreatic neuroendocrine tumor,approved,Adverse events (Grade ≥ 3),"lymphopenia, neutropenia",,n=9 adolescents,adolescents (NETTER‑P),,interim
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dresner::3,Nicole Dresner,"FDA, Deputy Director, Division of Oncology 2",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,gastroenteropancreatic neuroendocrine tumor,approved,Kidney dose >29 Gy probability,predicted 95th percentile >20% (wide CI),,n=9 adolescents,adolescents,,exploratory
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dalal::4,Mansi Dalal,"FDA, Clinical Reviewer, Division of Hemomalignancies 1",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,B‑cell acute lymphoblastic leukemia,approved,CR/CRi rate,Not specified,,n=~30 pediatric (MT103205),pediatric relapsed/refractory B‑ALL,,interim
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dalal::4,Mansi Dalal,"FDA, Clinical Reviewer, Division of Hemomalignancies 1",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,B‑cell acute lymphoblastic leukemia,approved,MRD‑negative rate,81%,,n≈200 adults (BLAST),adult MRD‑positive B‑ALL,,primary_endpoint_met
power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development::dalal::4,Mansi Dalal,"FDA, Clinical Reviewer, Division of Hemomalignancies 1",power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-development,B‑cell acute lymphoblastic leukemia,approved,3‑year disease‑free survival,significant improvement (HR not provided),,"AALL 1731 interim analysis, pediatric cohort",pediatric B‑ALL in consolidation,chemotherapy alone,interim
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::hosoda::1,Yujin Hosoda,"University of Texas Southwestern Medical Center, Director of Liver Tumor Translational Research",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma,mixed,Phospho‑EGFR suppression,achieved at 25 mg,,n=19 paired biopsies,cirrhotic patients undergoing elective liver surgery,,primary_endpoint_met
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::hosoda::1,Yujin Hosoda,"University of Texas Southwestern Medical Center, Director of Liver Tumor Translational Research",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma,mixed,Risk signature modulation,significant reduction at 50 mg and 75 mg,,n=19,same window trial cohort,,secondary_endpoint
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::hosoda::1,Yujin Hosoda,"University of Texas Southwestern Medical Center, Director of Liver Tumor Translational Research",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma,mixed,Adverse events (skin rash),"mild rash at 75 mg, resolved after drug stop",,n=19,window trial,,secondary_endpoint
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::hosoda::1,Yujin Hosoda,"University of Texas Southwestern Medical Center, Director of Liver Tumor Translational Research",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma,mixed,Tumor nodule count reduction,"dose‑dependent decrease, significant for small nodules only",,n=19,rat model + human window trial,untreated controls,preclinical
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::allaire::2,Manon Allaire,"La Pitié‑Salpêtrière Hospital, Paris, France; Inserm Centre de Recherche des Cordeliers",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma; cholangiocarcinoma; mixed hepatocholangiocarcinoma,phase_3,Disease control rate (DCR),significantly higher in high gamma‑delta T cell group,,n=31,atezo‑bev HCC patients,,primary_endpoint_met
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::allaire::2,Manon Allaire,"La Pitié‑Salpêtrière Hospital, Paris, France; Inserm Centre de Recherche des Cordeliers",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma; cholangiocarcinoma; mixed hepatocholangiocarcinoma,phase_3,Progression‑free survival,longer in high gamma‑delta T cell signature (median not specified),,n=31,same cohort,,secondary_endpoint
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::allaire::2,Manon Allaire,"La Pitié‑Salpêtrière Hospital, Paris, France; Inserm Centre de Recherche des Cordeliers",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma; cholangiocarcinoma; mixed hepatocholangiocarcinoma,phase_3,Overall survival,median 23 months in real‑world French cohort (n=180),,n=180,advanced HCC treated with atezo‑bev,,interim
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::allaire::2,Manon Allaire,"La Pitié‑Salpêtrière Hospital, Paris, France; Inserm Centre de Recherche des Cordeliers",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma; cholangiocarcinoma; mixed hepatocholangiocarcinoma,phase_3,Liver decompensation incidence,30% at 1 year in AI‑predicted high‑risk group,,n=500,advanced HCC on atezo‑bev,,interim
precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy::allaire::2,Manon Allaire,"La Pitié‑Salpêtrière Hospital, Paris, France; Inserm Centre de Recherche des Cordeliers",precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,hepatocellular carcinoma; cholangiocarcinoma; mixed hepatocholangiocarcinoma,phase_3,Disease control with genotype‑matched therapy,32% of treated patients achieved disease control (median PFS 12 months vs 2 months),,n=32,genomically matched HCC/CCA patients,non‑matched historical control,exploratory
precision-prevention-advances-in-early-detection-and-risk-assessment::berneo::1,Ms. Berneo,"National Cancer Institute, Division of Cancer Epidemiology and Genetics",precision-prevention-advances-in-early-detection-and-risk-assessment,solid tumors; hematologic malignancies,unspecified,CHIP prevalence in treated survivors,7.5%,,"n≈4,000 treated participants",cancer survivors with chemotherapy or radiation,untreated survivors (6.6%),interim
precision-prevention-advances-in-early-detection-and-risk-assessment::berneo::1,Ms. Berneo,"National Cancer Institute, Division of Cancer Epidemiology and Genetics",precision-prevention-advances-in-early-detection-and-risk-assessment,solid tumors; hematologic malignancies,unspecified,MCA prevalence in treated survivors,4% (≈19% increase vs non‑treated),,"n≈4,000 treated participants",cancer survivors with chemotherapy or radiation,non‑treated survivors (3%),interim
precision-prevention-advances-in-early-detection-and-risk-assessment::berneo::1,Ms. Berneo,"National Cancer Institute, Division of Cancer Epidemiology and Genetics",precision-prevention-advances-in-early-detection-and-risk-assessment,solid tumors; hematologic malignancies,unspecified,Hazard ratio for secondary hematologic malignancy with any MCA,HR 4.8,,n=500 secondary malignancy cases,solid tumor survivors,no MCA,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::berneo::1,Ms. Berneo,"National Cancer Institute, Division of Cancer Epidemiology and Genetics",precision-prevention-advances-in-early-detection-and-risk-assessment,solid tumors; hematologic malignancies,unspecified,Hazard ratio for secondary hematologic malignancy with CHIP,HR 2.8,,n=500 secondary malignancy cases,solid tumor survivors,no CHIP,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::druwesh::2,Dr. Druwesh,University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,colorectal cancer,unspecified,Mosaic APC detection rate,≈33%,,n=60 patients tested,unexplained adenomatous polyposis,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::druwesh::2,Dr. Druwesh,University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,colorectal cancer,unspecified,Median age at diagnosis (mosaic vs non‑mosaic),45 vs 53 years,,n=60,polyposis patients,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::druwesh::2,Dr. Druwesh,University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,colorectal cancer,unspecified,Adenoma burden (mosaic vs non‑mosaic),higher in mosaic patients,,n=60,polyposis patients,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::druwesh::2,Dr. Druwesh,University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,colorectal cancer,unspecified,Colibactin motif presence,40% of patients,,n=125,polyposis cohort,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::dewitt::3,Dr. DeWitt,VA Medical Center / University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,Tumor collagen enrichment,significantly higher in Black women (p<0.01),,n≈60 tumors,HR‑positive breast cancers,White women tumors,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::dewitt::3,Dr. DeWitt,VA Medical Center / University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,CD4/T‑cell enrichment,higher in Black women; further increased with high poverty,,n≈60,tumor RNA‑seq cohort,"White women, low poverty",interim
precision-prevention-advances-in-early-detection-and-risk-assessment::dewitt::3,Dr. DeWitt,VA Medical Center / University (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,Invasion potential in silico,increased with collagen density for Black‑derived cells (p<0.05),,simulation,Black vs White HR‑positive cell lines,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::abubakar::4,Dr. Abubakar,"National Cancer Institute, DCEG",precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,Overall cancer risk with any microdysplastic signature,HR >2.0,,n=104 cancer cases,Corman cohort,no signature,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::abubakar::4,Dr. Abubakar,"National Cancer Institute, DCEG",precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,Risk for ER‑negative cancer with stromal signature,≈4‑fold increase,,n=104,Corman cohort,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::abubakar::4,Dr. Abubakar,"National Cancer Institute, DCEG",precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,unspecified,Risk in benign disease cohort with any signature,≥2‑fold increase,,n≈200,benign breast disease patients,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::advani::5,Dr. Advani,Astron (company),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,phase_2,AUC (case‑control),0.96,,n=335,mixed density,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::advani::5,Dr. Advani,Astron (company),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,phase_2,Sensitivity in dense breasts,90.2%,,n≈70% of 335 ≈235,high breast density,specificity 90.4%,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::advani::5,Dr. Advani,Astron (company),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,phase_2,Stage‑0 sensitivity,84.6%,,,stage‑0 breast cancer,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::advani::5,Dr. Advani,Astron (company),precision-prevention-advances-in-early-detection-and-risk-assessment,breast cancer,phase_2,Negative predictive value (prospective),93%,,n≈300,women undergoing screening mammogram,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Overall sensitivity (training),80.5%,,n=116 PDAC,high‑risk cohort,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Early‑stage sensitivity (training),75.5%,,,stage I‑II PDAC,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Specificity (training),97.5%,,n=983 non‑cancer,high‑risk non‑cancer,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Overall sensitivity (validation 1),82.6%,,n=259 PDAC,independent high‑risk cohort,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Early‑stage sensitivity (validation 1),76.8%,,,stage I‑II PDAC,,interim
precision-prevention-advances-in-early-detection-and-risk-assessment::bergamaschi::6,Dr. Bergamaschi,Company (unspecified),precision-prevention-advances-in-early-detection-and-risk-assessment,pancreatic cancer,phase_2,Specificity across 11 other cancers,97.45% (0.05% reduction),,,pan‑cancer specificity panel,,interim
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::colditz::1,Graham Colditz,"Washington University School of Medicine, St. Louis",precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,breast cancer,unspecified,reduction in false positives,up to 25% reduction,,,US breast cancer screening population,standard age-based screening,secondary_endpoint
precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening::colditz::1,Graham Colditz,"Washington University School of Medicine, St. Louis",precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,breast cancer,unspecified,breast cancer deaths averted,improved numbers (qualitative),,,US screening cohort,standard screening,secondary_endpoint
